sales_sk,invoice_dt_sk,customer_no,cases,unit_price,ext_net,ext_cost,ext_participation,cqd_amt,order_no,invoice_no,site,item_no,sales_channel,order_status,shipment_date,delivery_date,customer_type,sales_rep_id
11-0000001-0004272-1-010501,2023-06-28,11-0000001,11,22,2904,2614,105,209,4259,4272,11,10501,Online,Completed,2024-02-04,2024-02-08,Business,2024
01-0000016-0002093-1-010501,2023-07-19,01-0000016,43,22,11352,10217,1022,511,2080,2093,1,10501,Mobile App,Canceled,-,-,New,2025
34-0000005-0004088-1-010501,2022-08-23,34-0000005,12,22,3168,2852,114,228,4075,4088,34,10501,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
14-0000002-0003254-1-010501,2023-01-28,14-0000002,12,22,3168,2852,200,257,3241,3254,14,10501,Online,Completed,2024-02-07,2024-02-11,Returning,2027
16-0000001-0004194-1-010501,2023-05-29,16-0000001,12,22,3168,2852,143,257,4181,4194,16,10501,Online,Returned,2024-02-08,2024-02-12,New,2028
01-0000004-0004779-1-010501,2023-12-28,01-0000004,12,22,3168,2852,57,200,4766,4779,1,10501,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
28-0000002-0005646-1-010501,2022-05-09,28-0000002,44,22,11616,10455,1046,627,5633,5646,28,10501,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
05-0000002-0002902-1-010501,2022-09-27,05-0000002,44,22,11616,10455,209,732,2889,2902,5,10501,Online,Completed,2024-02-12,2024-02-16,Returning,2031
21-0000006-0001208-1-010501,2023-07-19,21-0000006,44,22,11616,10455,732,523,1197,1208,21,10501,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
12-0000003-0003386-1-010501,2023-10-16,12-0000003,44,22,11616,10455,418,1046,3373,3386,12,10501,In-Store,Canceled,-,-,VIP,2033
21-0000006-0000997-1-010501,2022-05-13,21-0000006,13,22,3432,3089,93,247,986,997,21,10501,Online,Completed,2024-02-15,2024-02-19,Business,2034
32-0000001-0008016-1-010501,2022-09-20,32-0000001,13,22,3432,3089,216,216,8003,8016,32,10501,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
21-0000005-0000943-1-010501,2022-12-10,21-0000005,13,22,3432,3089,93,185,932,943,21,10501,In-Store,Pending,-,-,New,2036
34-0000006-0004037-1-010501,2023-10-20,34-0000006,13,22,3432,3089,93,154,4024,4037,34,10501,Online,Completed,2024-02-18,2024-02-22,VIP,2037
04-0000003-0005161-1-010501,2022-03-18,04-0000003,45,22,11880,10692,1069,535,5148,5161,4,10501,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
29-0000004-0005968-1-010501,2022-10-13,29-0000004,14,22,3696,3327,67,266,5955,5968,29,10501,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
18-0000005-0004484-1-010501,2022-12-07,18-0000005,14,22,3696,3327,333,233,4471,4484,18,10501,Online,Completed,2024-02-21,2024-02-25,New,2040
01-0000001-0004827-1-010501,2023-07-20,01-0000001,14,22,3696,3327,67,200,4814,4827,1,10501,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
04-0000001-0002664-1-010501,2023-07-28,04-0000001,14,22,3696,3327,166,166,2651,2664,4,10501,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
39-0000002-0004751-1-010501,2022-04-15,39-0000002,46,22,12144,10930,765,765,4738,4751,39,10501,Online,Canceled,-,-,Returning,2043
11-0000002-0003226-1-010501,2023-06-16,11-0000002,46,22,12144,10930,765,1093,3213,3226,11,10501,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
32-0000001-0005063-1-010501,2022-05-24,32-0000001,15,22,3960,3564,249,214,5050,5063,32,10501,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
01-0000002-0001953-1-010501,2023-08-25,01-0000002,15,22,3960,3564,356,214,1940,1953,1,10501,Online,Completed,2024-02-27,2024-03-03,Business,2046
34-0000006-0003925-1-010501,2022-10-06,34-0000006,47,22,12408,11168,223,558,3912,3925,34,10501,Mobile App,Completed,2024-02-28,2024-03-04,Returning,2047
12-0000010-0001630-1-010501,2022-11-02,12-0000010,47,22,12408,11168,1117,893,1617,1630,12,10501,In-Store,Pending,-,-,New,2048
01-0000004-0006569-1-010501,2023-11-15,01-0000004,47,22,12408,11168,782,670,6556,6569,1,10501,Online,Completed,2024-03-02,2024-03-06,VIP,2049
01-0000043-0000594-1-010501,2023-11-18,01-0000043,47,22,12408,11168,335,782,583,594,1,10501,Mobile App,Completed,2024-03-03,2024-03-07,Business,2050
18-0000004-0000335-1-010501,2022-05-06,18-0000004,16,22,4224,3802,114,266,330,335,18,10501,Online,Completed,2024-01-02,2024-01-05,Returning,2001
36-0000001-0006853-1-010501,2023-02-01,36-0000001,16,22,4224,3802,380,266,6840,6853,36,10501,Mobile App,Completed,2024-01-04,2024-01-07,New,2002
28-0000002-0006821-1-010501,2022-07-24,28-0000002,48,22,12672,11405,570,1026,6808,6821,28,10501,In-Store,Completed,2024-01-05,2024-01-09,VIP,2003
37-0000001-0007703-1-010501,2023-04-21,37-0000001,17,22,4488,4040,121,323,7690,7703,37,10501,In-Store,Completed,2024-01-07,2024-01-10,Returning,2001
37-0000001-0004853-1-010501,2023-06-27,37-0000001,17,22,4488,4040,202,364,4840,4853,37,10501,Online,Completed,2024-01-08,2024-01-12,New,2005
01-0000007-0002016-1-010501,2023-10-25,01-0000007,17,22,4488,4040,121,242,2003,2016,1,10501,Mobile App,Completed,2024-01-09,2024-01-13,VIP,2006
38-0000001-0004963-1-010501,2022-11-17,38-0000001,49,22,12936,11643,1164,1164,4950,4963,38,10501,Online,Canceled,-,-,Business,2007
01-0000019-0002172-1-010501,2023-01-23,01-0000019,49,22,12936,11643,582,815,2159,2172,1,10501,In-Store,Completed,2024-01-12,2024-01-15,Returning,2008
29-0000004-0007308-1-010501,2023-02-08,29-0000004,49,22,12936,11643,233,699,7295,7308,29,10501,In-Store,Completed,2024-01-13,2024-01-17,New,2009
36-0000001-0007563-1-010501,2023-05-22,36-0000001,49,22,12936,11643,1164,1048,7550,7563,36,10501,Online,Completed,2024-01-15,2024-01-18,VIP,2010
11-0000001-0003169-1-010501,2023-09-21,11-0000001,49,22,12936,11643,349,931,3156,3169,11,10501,Mobile App,Pending,-,-,Returning,2011
01-0000031-0000089-1-010501,2023-01-15,01-0000031,18,22,4752,4277,128,257,86,89,1,10501,Online,Completed,2024-01-18,2024-01-22,Business,2012
20-0000001-0003449-1-010501,2023-04-17,20-0000001,18,22,4752,4277,214,257,3436,3449,20,10501,In-Store,Completed,2024-01-19,2024-01-23,VIP,2013
18-0000011-0000344-1-010501,2022-06-06,18-0000011,50,22,13200,11880,238,594,339,344,18,10501,Online,Returned,2024-01-21,2024-01-24,Returning,2014
29-0000002-0005495-1-010501,2023-06-23,29-0000002,50,22,13200,11880,475,1188,5482,5495,29,10501,Mobile App,Completed,2024-01-22,2024-01-26,New,2015
02-0000003-0002412-1-010501,2022-10-11,02-0000003,19,22,5016,4515,452,406,2399,2412,2,10501,Online,Completed,2024-01-24,2024-01-28,Returning,2016
01-0000036-0007572-1-010501,2024-01-12,01-0000036,19,22,5016,4515,90,226,7559,7572,1,10501,In-Store,Completed,2024-01-25,2024-01-29,VIP,2017
20-0000001-0004532-1-010501,2022-03-21,20-0000001,20,22,5280,4752,475,285,4519,4532,20,10501,In-Store,Completed,2024-01-26,2024-01-30,New,2018
18-0000007-0000687-1-010501,2023-01-03,18-0000007,20,22,5280,4752,333,475,676,687,18,10501,Online,Completed,2024-01-28,2024-02-01,Business,2019
29-0000003-0005275-1-010501,2023-11-15,29-0000003,20,22,5280,4752,238,285,5262,5275,29,10501,Mobile App,Completed,2024-01-29,2024-02-02,Returning,2020
08-0000006-0003007-1-010501,2024-01-03,08-0000006,20,22,5280,4752,143,333,2994,3007,8,10501,Online,Completed,2024-02-01,2024-02-05,New,2021
21-0000006-0001072-1-010501,2022-04-14,21-0000006,21,22,5544,4990,499,349,1061,1072,21,10501,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
16-0000002-0001802-1-010501,2022-09-08,16-0000002,22,22,5808,5228,105,366,1789,1802,16,10501,In-Store,Pending,-,-,Returning,2023
12-0000010-0001560-1-010501,2023-02-20,12-0000010,22,22,5808,5228,261,418,1547,1560,12,10501,Online,Completed,2024-02-04,2024-02-08,Business,2024
01-0000024-0002299-1-010501,2023-02-25,01-0000024,22,22,5808,5228,366,471,2286,2299,1,10501,Mobile App,Canceled,-,-,New,2025
01-0000003-0007107-1-010501,2023-03-06,01-0000003,22,22,5808,5228,261,523,7094,7107,1,10501,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
21-0000006-0001100-1-010501,2023-07-10,21-0000006,22,22,5808,5228,157,366,1089,1100,21,10501,Online,Completed,2024-02-07,2024-02-11,Returning,2027
02-0000004-0005971-1-010501,2022-08-27,02-0000004,23,22,6072,5465,219,547,5958,5971,2,10501,Online,Returned,2024-02-08,2024-02-12,New,2028
01-0000010-0000469-1-010501,2022-11-19,01-0000010,23,22,6072,5465,547,328,459,469,1,10501,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
21-0000005-0000815-1-010501,2024-02-10,21-0000005,23,22,6072,5465,164,273,804,815,21,10501,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
01-0000036-0004846-1-010501,2022-03-09,01-0000036,24,22,6336,5703,285,570,4833,4846,1,10501,Online,Completed,2024-02-12,2024-02-16,Returning,2031
02-0000004-0008064-1-010501,2022-11-28,02-0000004,24,22,6336,5703,285,342,8051,8064,2,10501,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
04-0000004-0002733-1-010501,2022-06-29,04-0000004,25,22,6600,5940,238,535,2720,2733,4,10501,In-Store,Canceled,-,-,VIP,2033
18-0000008-0000705-1-010501,2022-03-17,18-0000008,26,22,6864,6178,124,494,694,705,18,10501,Online,Completed,2024-02-15,2024-02-19,Business,2034
38-0000002-0007840-1-010501,2022-08-17,38-0000002,26,22,6864,6178,185,556,7827,7840,38,10501,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
25-0000001-0007607-1-010501,2022-08-31,25-0000001,26,22,6864,6178,185,371,7594,7607,25,10501,In-Store,Pending,-,-,New,2036
21-0000005-0000842-1-010501,2022-11-29,21-0000005,26,22,6864,6178,432,494,831,842,21,10501,Online,Completed,2024-02-18,2024-02-22,VIP,2037
04-0000008-0002703-1-010501,2023-11-19,04-0000008,26,22,6864,6178,124,432,2690,2703,4,10501,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
32-0000001-0006520-1-010501,2022-01-08,32-0000001,27,22,7128,6416,128,577,6507,6520,32,10501,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
39-0000001-0005950-1-010501,2022-03-05,39-0000001,27,22,7128,6416,257,513,5937,5950,39,10501,Online,Completed,2024-02-21,2024-02-25,New,2040
01-0000033-0000130-1-010501,2022-09-16,01-0000033,27,22,7128,6416,642,449,126,130,1,10501,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
17-0000001-0001866-1-010501,2023-07-02,17-0000001,27,22,7128,6416,642,577,1853,1866,17,10501,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
32-0000001-0004811-1-010501,2022-04-16,32-0000001,28,22,7392,6653,266,333,4798,4811,32,10501,Online,Canceled,-,-,Returning,2043
21-0000002-0007416-1-010501,2022-04-15,21-0000002,28,22,7392,6653,133,333,7403,7416,21,10501,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
01-0000002-0004468-1-010501,2022-04-27,01-0000002,28,22,7392,6653,333,532,4455,4468,1,10501,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
12-0000001-0006929-1-010501,2023-04-03,12-0000001,28,22,7392,6653,466,466,6916,6929,12,10501,Online,Completed,2024-02-01,2024-02-05,New,2021
01-0000006-0008019-1-010501,2023-09-10,01-0000006,28,22,7392,6653,133,333,8006,8019,1,10501,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
24-0000001-0007400-1-010501,2022-02-23,24-0000001,29,22,7656,6891,345,345,7387,7400,24,10501,In-Store,Pending,-,-,Returning,2023
02-0000003-0002434-1-010501,2023-11-13,02-0000003,30,22,7920,7128,214,356,2421,2434,2,10501,Online,Completed,2024-02-04,2024-02-08,Business,2024
01-0000059-0001264-1-010501,2023-11-24,01-0000059,30,22,7920,7128,499,642,1253,1264,1,10501,Mobile App,Canceled,-,-,New,2025
32-0000005-0003650-1-010501,2022-04-13,32-0000005,31,22,8184,7366,737,516,3637,3650,32,10501,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
37-0000001-0008148-1-010501,2022-05-31,37-0000001,31,22,8184,7366,221,368,8135,8148,37,10501,Online,Completed,2024-02-07,2024-02-11,Returning,2027
18-0000007-0000683-1-010501,2022-11-04,18-0000007,31,22,8184,7366,516,368,672,683,18,10501,Online,Returned,2024-02-08,2024-02-12,New,2028
37-0000001-0005687-1-010502,2023-01-25,37-0000001,32,22,8448,7604,152,608,5674,5687,37,10502,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
26-0000001-0003627-1-010502,2023-11-19,26-0000001,32,22,8448,7604,532,760,3614,3627,26,10502,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
04-0000003-0004872-1-010502,2022-10-19,04-0000003,1,22,264,238,10,12,4859,4872,4,10502,Online,Completed,2024-02-12,2024-02-16,Returning,2031
01-0000006-0005120-1-010502,2023-01-22,01-0000006,1,22,264,238,10,19,5107,5120,1,10502,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
04-0000003-0007004-1-010502,2023-03-16,04-0000003,1,22,264,238,5,19,6991,7004,4,10502,In-Store,Canceled,-,-,VIP,2033
01-0000033-0000119-1-010502,2022-06-02,01-0000033,2,22,528,476,33,48,115,119,1,10502,Online,Completed,2024-02-15,2024-02-19,Business,2034
04-0000001-0004234-1-010502,2022-05-14,04-0000001,34,22,8976,8079,162,485,4221,4234,4,10502,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
01-0000001-0007022-1-010502,2022-06-29,01-0000001,34,22,8976,8079,242,566,7009,7022,1,10502,In-Store,Pending,-,-,New,2036
18-0000005-0006401-1-010502,2022-07-04,18-0000005,34,22,8976,8079,323,646,6388,6401,18,10502,Online,Completed,2024-02-18,2024-02-22,VIP,2037
35-0000001-0005700-1-010502,2023-01-04,35-0000001,34,22,8976,8079,808,727,5687,5700,35,10502,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
24-0000001-0003514-1-010502,2022-10-16,24-0000001,3,22,792,713,36,50,3501,3514,24,10502,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
06-0000001-0007401-1-010502,2022-05-04,06-0000001,35,22,9240,8316,166,499,7388,7401,6,10502,Online,Completed,2024-02-21,2024-02-25,New,2040
18-0000011-0000345-1-010502,2022-05-11,18-0000011,35,22,9240,8316,166,499,340,345,18,10502,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
13-0000002-0003164-1-010502,2023-07-12,13-0000002,35,22,9240,8316,249,582,3151,3164,13,10502,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
01-0000007-0007011-1-010502,2023-07-26,01-0000007,35,22,9240,8316,832,582,6998,7011,1,10502,Online,Canceled,-,-,Returning,2043
04-0000004-0006133-1-010502,2024-01-02,04-0000004,35,22,9240,8316,166,416,6120,6133,4,10502,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
29-0000002-0007439-1-010502,2022-02-17,29-0000002,36,22,9504,8554,855,684,7426,7439,29,10502,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
18-0000001-0005344-1-010502,2022-06-03,18-0000001,36,22,9504,8554,342,513,5331,5344,18,10502,Online,Completed,2024-02-27,2024-03-03,Business,2046
35-0000001-0007927-1-010502,2022-07-26,35-0000001,5,22,1320,1188,36,59,7914,7927,35,10502,Mobile App,Completed,2024-02-28,2024-03-04,Returning,2047
12-0000001-0006736-1-010502,2022-12-26,12-0000001,5,22,1320,1188,36,95,6723,6736,12,10502,In-Store,Pending,-,-,New,2048
01-0000002-0006417-1-010502,2023-02-19,01-0000002,5,22,1320,1188,36,95,6404,6417,1,10502,Online,Completed,2024-03-02,2024-03-06,VIP,2049
11-0000001-0003245-1-010502,2023-04-15,11-0000001,5,22,1320,1188,36,119,3232,3245,11,10502,Mobile App,Completed,2024-03-03,2024-03-07,Business,2050
29-0000002-0008028-1-010502,2023-04-21,29-0000002,5,22,1320,1188,24,119,8015,8028,29,10502,Online,Completed,2024-01-02,2024-01-05,Returning,2001
28-0000002-0007889-1-010502,2023-12-09,28-0000002,5,22,1320,1188,48,59,7876,7889,28,10502,Mobile App,Completed,2024-01-04,2024-01-07,New,2002
01-0000005-0007543-1-010502,2022-04-17,01-0000005,37,22,9768,8792,615,615,7530,7543,1,10502,In-Store,Completed,2024-01-05,2024-01-09,VIP,2003
29-0000001-0006598-1-010502,2023-01-04,29-0000001,37,22,9768,8792,352,528,6585,6598,29,10502,In-Store,Completed,2024-01-07,2024-01-10,Returning,2001
23-0000001-0005588-1-010502,2023-02-23,23-0000001,6,22,1584,1426,143,114,5575,5588,23,10502,Online,Completed,2024-01-08,2024-01-12,New,2005
05-0000001-0006991-1-010502,2023-04-22,05-0000001,6,22,1584,1426,29,71,6978,6991,5,10502,Mobile App,Completed,2024-01-09,2024-01-13,VIP,2006
21-0000006-0001104-1-010502,2023-10-28,21-0000006,6,22,1584,1426,71,128,1093,1104,21,10502,Online,Canceled,-,-,Business,2007
21-0000003-0007948-1-010502,2022-06-29,21-0000003,38,22,10032,9029,903,632,7935,7948,21,10502,In-Store,Completed,2024-01-12,2024-01-15,Returning,2008
28-0000002-0007661-1-010502,2023-08-18,28-0000002,38,22,10032,9029,903,451,7648,7661,28,10502,In-Store,Completed,2024-01-13,2024-01-17,New,2009
01-0000002-0004755-1-010502,2024-02-05,01-0000002,38,22,10032,9029,632,451,4742,4755,1,10502,Online,Completed,2024-01-15,2024-01-18,VIP,2010
01-0000025-0002321-1-010502,2022-06-07,01-0000025,7,22,1848,1664,33,166,2308,2321,1,10502,Mobile App,Pending,-,-,Returning,2011
01-0000055-0000565-1-010502,2022-09-25,01-0000055,7,22,1848,1664,166,116,554,565,1,10502,Online,Completed,2024-01-18,2024-01-22,Business,2012
38-0000002-0005073-1-010502,2022-12-20,38-0000002,7,22,1848,1664,83,83,5060,5073,38,10502,In-Store,Completed,2024-01-19,2024-01-23,VIP,2013
03-0000001-0001455-1-010502,2023-04-21,03-0000001,7,22,1848,1664,50,83,1442,1455,3,10502,Online,Returned,2024-01-21,2024-01-24,Returning,2014
35-0000001-0006666-1-010502,2022-06-19,35-0000001,39,22,10296,9267,371,741,6653,6666,35,10502,Mobile App,Completed,2024-01-22,2024-01-26,New,2015
12-0000010-0001783-1-010502,2023-04-14,12-0000010,39,22,10296,9267,649,649,1770,1783,12,10502,Online,Completed,2024-01-24,2024-01-28,Returning,2016
28-0000001-0005602-1-010502,2023-06-30,28-0000001,39,22,10296,9267,927,556,5589,5602,28,10502,In-Store,Completed,2024-01-25,2024-01-29,VIP,2017
01-0000003-0006678-1-010502,2022-05-01,01-0000003,8,22,2112,1901,95,190,6665,6678,1,10502,In-Store,Completed,2024-01-26,2024-01-30,New,2018
02-0000004-0002488-1-010502,2023-06-15,02-0000004,8,22,2112,1901,95,95,2475,2488,2,10502,Online,Completed,2024-01-28,2024-02-01,Business,2019
01-0000006-0004716-1-010502,2023-09-24,01-0000006,8,22,2112,1901,38,114,4703,4716,1,10502,Mobile App,Completed,2024-01-29,2024-02-02,Returning,2020
30-0000001-0005479-1-010502,2023-11-09,30-0000001,8,22,2112,1901,38,133,5466,5479,30,10502,Online,Completed,2024-02-01,2024-02-05,New,2021
04-0000004-0005795-1-010502,2022-10-10,04-0000004,40,22,10560,9504,380,475,5782,5795,4,10502,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
