Month,Metric,Region,Product Category,Customer Segment,Marketing Channel,product_seasonality,customer_segment,Value
2024-01,Product Affinity Score,East,Spirits,Medium-Value,Social Media,Summer,High Value,107.01
2024-01,Product Affinity Score,East,Spirits,Medium-Value,SMS,Spring,Mid Value,111.5
2024-01,Product Affinity Score,East,Spirits,Medium-Value,Direct Mail,Spring,High Value,64.01
2024-01,Product Affinity Score,East,Spirits,Low-Value,Email,Fall,Mid Value,137.74
2024-01,Product Affinity Score,East,Spirits,Low-Value,Social Media,Winter,High Value,119.7
2024-01,Product Affinity Score,East,Spirits,Low-Value,SMS,Winter,High Value,85.95
2024-01,Product Affinity Score,East,Spirits,Low-Value,Direct Mail,Summer,High Value,130.94
2024-01,Product Affinity Score,East,Non-Alcoholic,High-Value,Email,Fall,High Value,136.71
2024-01,Product Affinity Score,East,Non-Alcoholic,High-Value,Social Media,Fall,Low Value,101.13
2024-01,Product Affinity Score,East,Non-Alcoholic,High-Value,SMS,Spring,High Value,129.83
2024-01,Product Affinity Score,East,Non-Alcoholic,High-Value,Direct Mail,Winter,High Value,120.2
2024-01,Product Affinity Score,East,Non-Alcoholic,Medium-Value,Email,Summer,Mid Value,139
2024-01,Product Affinity Score,East,Non-Alcoholic,Medium-Value,Social Media,Winter,Mid Value,87.56
2024-01,Product Affinity Score,East,Non-Alcoholic,Medium-Value,SMS,Spring,Mid Value,211.95
2024-01,Product Affinity Score,East,Non-Alcoholic,Medium-Value,Direct Mail,Spring,High Value,104.26
2024-01,Product Affinity Score,East,Non-Alcoholic,Low-Value,Email,Spring,High Value,167.7
2024-01,Product Affinity Score,East,Non-Alcoholic,Low-Value,Social Media,Fall,Mid Value,132.26
2024-01,Product Affinity Score,East,Non-Alcoholic,Low-Value,SMS,Summer,Low Value,62.71
2024-01,Product Affinity Score,East,Non-Alcoholic,Low-Value,Direct Mail,Winter,High Value,127
2024-01,Product Affinity Score,West,Beer,High-Value,Email,Winter,Mid Value,112.29
2024-01,Product Affinity Score,West,Beer,High-Value,Social Media,Winter,Mid Value,55.17
2024-01,Product Affinity Score,West,Beer,High-Value,SMS,Winter,Mid Value,104.06
2024-01,Product Affinity Score,West,Beer,High-Value,Direct Mail,Spring,High Value,122.61
2024-01,Product Affinity Score,West,Beer,Medium-Value,Email,Fall,Low Value,101.63
2024-01,Product Affinity Score,West,Beer,Medium-Value,Social Media,Summer,Mid Value,129.52
2024-01,Product Affinity Score,West,Beer,Medium-Value,SMS,Winter,Mid Value,93.9
2024-01,Product Affinity Score,West,Beer,Medium-Value,Direct Mail,Winter,High Value,52.54
2024-01,Product Affinity Score,West,Beer,Low-Value,Email,Fall,Mid Value,133.6
2024-01,Product Affinity Score,West,Beer,Low-Value,Social Media,Summer,Low Value,90.9
2024-01,Product Affinity Score,West,Beer,Low-Value,SMS,Summer,Mid Value,65.64
2024-01,Product Affinity Score,West,Beer,Low-Value,Direct Mail,Fall,Mid Value,104.92
2024-01,Product Affinity Score,West,Wine,High-Value,Email,Fall,Mid Value,116.02
2024-01,Product Affinity Score,West,Wine,High-Value,Social Media,Winter,Low Value,145.49
2024-01,Product Affinity Score,West,Wine,High-Value,SMS,Fall,High Value,105.44
2024-01,Product Affinity Score,West,Wine,High-Value,Direct Mail,Winter,High Value,91.96
2024-01,Product Affinity Score,West,Wine,Medium-Value,Email,Summer,High Value,85.6
2024-01,Product Affinity Score,West,Wine,Medium-Value,Social Media,Summer,High Value,51.44
2024-01,Product Affinity Score,West,Wine,Medium-Value,SMS,Winter,High Value,128.61
2024-01,Product Affinity Score,West,Wine,Medium-Value,Direct Mail,Winter,High Value,120.37
2024-01,Product Affinity Score,West,Wine,Low-Value,Email,Winter,Mid Value,59.78
2024-01,Product Affinity Score,West,Wine,Low-Value,Social Media,Winter,High Value,97.35
2024-01,Product Affinity Score,West,Wine,Low-Value,SMS,Winter,High Value,93.39
2024-01,Product Affinity Score,West,Wine,Low-Value,Direct Mail,Summer,Mid Value,111.59
2024-01,Product Affinity Score,West,Spirits,High-Value,Email,Fall,Mid Value,54.53
2024-01,Product Affinity Score,West,Spirits,High-Value,Social Media,Fall,Mid Value,112.59
2024-01,Product Affinity Score,West,Spirits,High-Value,SMS,Spring,High Value,135.65
2024-01,Product Affinity Score,West,Spirits,High-Value,Direct Mail,Summer,High Value,66.29
2024-01,Product Affinity Score,West,Spirits,Medium-Value,Email,Spring,Mid Value,238.28
2024-01,Product Affinity Score,West,Spirits,Medium-Value,Social Media,Winter,Mid Value,144.02
2024-01,Product Affinity Score,West,Spirits,Medium-Value,SMS,Winter,Low Value,88.82
2024-01,Product Affinity Score,West,Spirits,Medium-Value,Direct Mail,Summer,Low Value,95.83
2024-01,Product Affinity Score,West,Spirits,Low-Value,Email,Winter,High Value,144.15
2024-01,Product Affinity Score,West,Spirits,Low-Value,Social Media,Summer,High Value,146.12
2024-01,Product Affinity Score,West,Spirits,Low-Value,SMS,Fall,Low Value,69.58
2024-01,Product Affinity Score,West,Spirits,Low-Value,Direct Mail,Spring,High Value,95.79
2024-01,Product Affinity Score,West,Non-Alcoholic,High-Value,Email,Summer,High Value,118.3
2024-01,Product Affinity Score,West,Non-Alcoholic,High-Value,Social Media,Summer,High Value,81.9
2024-01,Product Affinity Score,West,Non-Alcoholic,High-Value,SMS,Spring,Mid Value,52.33
2024-01,Product Affinity Score,West,Non-Alcoholic,High-Value,Direct Mail,Summer,Low Value,78.19
2024-01,Product Affinity Score,West,Non-Alcoholic,Medium-Value,Email,Winter,High Value,119.67
2024-01,Product Affinity Score,West,Non-Alcoholic,Medium-Value,Social Media,Fall,Mid Value,137.75
2024-01,Product Affinity Score,West,Non-Alcoholic,Medium-Value,SMS,Summer,High Value,130.35
2024-01,Product Affinity Score,West,Non-Alcoholic,Medium-Value,Direct Mail,Summer,High Value,67.74
2024-01,Product Affinity Score,West,Non-Alcoholic,Low-Value,Email,Spring,High Value,130.68
2024-01,Product Affinity Score,West,Non-Alcoholic,Low-Value,Social Media,Fall,Low Value,91.26
2024-01,Product Affinity Score,West,Non-Alcoholic,Low-Value,SMS,Winter,Mid Value,127.64
2024-01,Product Affinity Score,West,Non-Alcoholic,Low-Value,Direct Mail,Summer,High Value,143.08
2024-01,Customer Engagement Score,North,Beer,High-Value,Email,Fall,Mid Value,92.9
2024-01,Customer Engagement Score,North,Beer,High-Value,Social Media,Fall,Low Value,125.45
2024-01,Customer Engagement Score,North,Beer,High-Value,SMS,Spring,High Value,140.26
2024-01,Customer Engagement Score,North,Beer,High-Value,Direct Mail,Summer,High Value,132.65
2024-01,Customer Engagement Score,North,Beer,Medium-Value,Email,Summer,High Value,139.55
2024-01,Customer Engagement Score,North,Beer,Medium-Value,Social Media,Winter,Mid Value,51.08
2024-01,Customer Engagement Score,North,Beer,Medium-Value,SMS,Fall,High Value,59.13
2024-01,Customer Engagement Score,North,Beer,Medium-Value,Direct Mail,Spring,Mid Value,145.01
2024-01,Customer Engagement Score,North,Beer,Low-Value,Email,Spring,Mid Value,107.34
2024-01,Customer Engagement Score,North,Beer,Low-Value,Social Media,Fall,Low Value,94.84
2024-01,Customer Engagement Score,North,Beer,Low-Value,SMS,Fall,High Value,82.87
2024-01,Customer Engagement Score,North,Beer,Low-Value,Direct Mail,Fall,High Value,125.24
2024-01,Customer Engagement Score,North,Wine,High-Value,Email,Summer,Mid Value,128.96
2024-01,Customer Engagement Score,North,Wine,High-Value,Social Media,Summer,Mid Value,99.44
2024-01,Customer Engagement Score,North,Wine,High-Value,SMS,Summer,Mid Value,104.95
2024-01,Customer Engagement Score,North,Wine,High-Value,Direct Mail,Winter,High Value,138.77
2024-01,Customer Engagement Score,North,Wine,Medium-Value,Email,Winter,Mid Value,61.71
2024-01,Customer Engagement Score,North,Wine,Medium-Value,Social Media,Fall,Low Value,126.15
2024-01,Customer Engagement Score,North,Wine,Medium-Value,SMS,Summer,Low Value,60.11
2024-01,Customer Engagement Score,North,Wine,Medium-Value,Direct Mail,Spring,Mid Value,120.1
2024-01,Customer Engagement Score,North,Wine,Low-Value,Email,Fall,High Value,132.19
2024-01,Customer Engagement Score,North,Wine,Low-Value,Social Media,Summer,Mid Value,58.13
2024-01,Customer Engagement Score,North,Wine,Low-Value,SMS,Fall,Mid Value,148.66
2024-01,Customer Engagement Score,North,Wine,Low-Value,Direct Mail,Fall,High Value,87.06
2024-01,Customer Engagement Score,North,Spirits,High-Value,Email,Fall,High Value,144.72
2024-01,Customer Engagement Score,North,Spirits,High-Value,Social Media,Spring,High Value,125.34
2024-01,Customer Engagement Score,North,Spirits,High-Value,SMS,Spring,High Value,58.35
2024-01,Customer Engagement Score,North,Spirits,High-Value,Direct Mail,Summer,Mid Value,105.84
2024-01,Customer Engagement Score,North,Spirits,Medium-Value,Email,Fall,High Value,140.64
2024-01,Customer Engagement Score,North,Spirits,Medium-Value,Social Media,Spring,Low Value,195.41
2024-01,Customer Engagement Score,North,Spirits,Medium-Value,SMS,Spring,Mid Value,55.63
2024-01,Customer Engagement Score,North,Spirits,Medium-Value,Direct Mail,Winter,Low Value,61.75
2024-01,Customer Engagement Score,North,Spirits,Low-Value,Email,Summer,Low Value,124.6
2024-01,Customer Engagement Score,North,Spirits,Low-Value,Social Media,Winter,Low Value,146.22
2024-01,Customer Engagement Score,North,Spirits,Low-Value,SMS,Winter,High Value,78.57
2024-01,Customer Engagement Score,North,Spirits,Low-Value,Direct Mail,Summer,Mid Value,72.36
2024-01,Customer Engagement Score,North,Non-Alcoholic,High-Value,Email,Fall,Low Value,51.22
2024-01,Customer Engagement Score,North,Non-Alcoholic,High-Value,Social Media,Fall,Low Value,54.32
2024-01,Customer Engagement Score,North,Non-Alcoholic,High-Value,SMS,Fall,High Value,102.77
2024-01,Customer Engagement Score,North,Non-Alcoholic,High-Value,Direct Mail,Fall,Low Value,57.38
2024-01,Customer Engagement Score,North,Non-Alcoholic,Medium-Value,Email,Summer,Mid Value,146.93
2024-01,Customer Engagement Score,North,Non-Alcoholic,Medium-Value,Social Media,Summer,High Value,112.94
2024-01,Customer Engagement Score,North,Non-Alcoholic,Medium-Value,SMS,Fall,Mid Value,95.45
2024-01,Customer Engagement Score,North,Non-Alcoholic,Medium-Value,Direct Mail,Fall,Low Value,108.43
2024-01,Customer Engagement Score,North,Non-Alcoholic,Low-Value,Email,Summer,Low Value,54.54
2024-01,Customer Engagement Score,North,Non-Alcoholic,Low-Value,Social Media,Fall,Low Value,145.04
2024-01,Customer Engagement Score,North,Non-Alcoholic,Low-Value,SMS,Winter,Low Value,95.57
2024-01,Customer Engagement Score,North,Non-Alcoholic,Low-Value,Direct Mail,Summer,Mid Value,77.74
2024-01,Customer Engagement Score,South,Beer,High-Value,Email,Spring,High Value,96.37
2024-01,Customer Engagement Score,South,Beer,High-Value,Social Media,Fall,Mid Value,108.37
2024-01,Customer Engagement Score,South,Beer,High-Value,SMS,Fall,High Value,147.44
2024-01,Customer Engagement Score,South,Beer,High-Value,Direct Mail,Summer,High Value,119.82
2024-01,Customer Engagement Score,South,Beer,Medium-Value,Email,Winter,High Value,80.95
2024-01,Customer Engagement Score,South,Beer,Medium-Value,Social Media,Fall,Mid Value,118.47
2024-01,Customer Engagement Score,South,Beer,Medium-Value,SMS,Spring,Low Value,141.09
2024-01,Customer Engagement Score,South,Beer,Medium-Value,Direct Mail,Summer,Mid Value,144.98
2024-01,Customer Engagement Score,South,Beer,Low-Value,Email,Fall,Low Value,111.34
2024-01,Customer Engagement Score,South,Beer,Low-Value,Social Media,Fall,Low Value,143.27
2024-01,Customer Engagement Score,South,Beer,Low-Value,SMS,Summer,High Value,102.31
2024-01,Customer Engagement Score,South,Beer,Low-Value,Direct Mail,Fall,High Value,131.06
2024-01,Customer Engagement Score,South,Wine,High-Value,Email,Summer,High Value,65.04
2024-01,Customer Engagement Score,South,Wine,High-Value,Social Media,Fall,Low Value,88.09
2024-01,Customer Engagement Score,South,Wine,High-Value,SMS,Winter,Low Value,134.21
2024-01,Customer Engagement Score,South,Wine,High-Value,Direct Mail,Winter,Mid Value,96.87
2024-01,Customer Engagement Score,South,Wine,Medium-Value,Email,Fall,Mid Value,77.34
2024-01,Customer Engagement Score,South,Wine,Medium-Value,Social Media,Summer,High Value,136.47
2024-01,Customer Engagement Score,South,Wine,Medium-Value,SMS,Fall,High Value,149.97
2024-01,Customer Engagement Score,South,Wine,Medium-Value,Direct Mail,Fall,High Value,105.54
2024-01,Customer Engagement Score,South,Wine,Low-Value,Email,Fall,High Value,144.48
2024-01,Customer Engagement Score,South,Wine,Low-Value,Social Media,Summer,Low Value,74.73
2024-01,Customer Engagement Score,South,Wine,Low-Value,SMS,Fall,Mid Value,62.92
2024-01,Customer Engagement Score,South,Wine,Low-Value,Direct Mail,Spring,Low Value,110.62
2024-01,Customer Engagement Score,South,Spirits,High-Value,Email,Summer,Low Value,117.17
2024-01,Customer Engagement Score,South,Spirits,High-Value,Social Media,Winter,High Value,85.82
2024-01,Customer Engagement Score,South,Spirits,High-Value,SMS,Summer,High Value,117.16
2024-01,Customer Engagement Score,South,Spirits,High-Value,Direct Mail,Winter,Mid Value,127.23
2024-01,Customer Engagement Score,South,Spirits,Medium-Value,Email,Summer,High Value,135.22
2024-01,Customer Engagement Score,South,Spirits,Medium-Value,Social Media,Spring,High Value,106.09
2024-01,Customer Engagement Score,South,Spirits,Medium-Value,SMS,Fall,Mid Value,90.35
2024-01,Customer Engagement Score,South,Spirits,Medium-Value,Direct Mail,Winter,High Value,52.88
2024-01,Customer Engagement Score,South,Spirits,Low-Value,Email,Fall,Mid Value,112.03
2024-01,Customer Engagement Score,South,Spirits,Low-Value,Social Media,Summer,Low Value,71.3
2024-01,Customer Engagement Score,South,Spirits,Low-Value,SMS,Fall,High Value,51.45
2024-01,Customer Engagement Score,South,Spirits,Low-Value,Direct Mail,Summer,High Value,108.99
2024-01,Customer Engagement Score,South,Non-Alcoholic,High-Value,Email,Fall,Mid Value,93.75
2024-01,Customer Engagement Score,South,Non-Alcoholic,High-Value,Social Media,Summer,Low Value,84.83
2024-01,Customer Engagement Score,South,Non-Alcoholic,High-Value,SMS,Winter,Low Value,128.37
2024-01,Customer Engagement Score,South,Non-Alcoholic,High-Value,Direct Mail,Summer,Mid Value,112.21
2024-01,Customer Engagement Score,South,Non-Alcoholic,Medium-Value,Email,Spring,Mid Value,144.95
2024-01,Customer Engagement Score,South,Non-Alcoholic,Medium-Value,Social Media,Spring,Mid Value,142.66
2024-01,Customer Engagement Score,South,Non-Alcoholic,Medium-Value,SMS,Spring,High Value,75.82
2024-01,Customer Engagement Score,South,Non-Alcoholic,Medium-Value,Direct Mail,Winter,Low Value,148
2024-01,Customer Engagement Score,South,Non-Alcoholic,Low-Value,Email,Winter,Mid Value,82.88
2024-01,Customer Engagement Score,South,Non-Alcoholic,Low-Value,Social Media,Spring,Mid Value,74.01
2024-01,Customer Engagement Score,South,Non-Alcoholic,Low-Value,SMS,Winter,Mid Value,62.89
2024-01,Customer Engagement Score,South,Non-Alcoholic,Low-Value,Direct Mail,Winter,Low Value,65.19
2024-01,Customer Engagement Score,East,Beer,High-Value,Email,Spring,Mid Value,114.09
2024-01,Customer Engagement Score,East,Beer,High-Value,Social Media,Summer,High Value,84.57
2024-01,Customer Engagement Score,East,Beer,High-Value,SMS,Spring,Low Value,97.4
2024-01,Customer Engagement Score,East,Beer,High-Value,Direct Mail,Winter,Low Value,67.23
2024-01,Customer Engagement Score,East,Beer,Medium-Value,Email,Spring,High Value,54.09
2024-01,Customer Engagement Score,East,Beer,Medium-Value,Social Media,Summer,Low Value,77.86
2024-01,Customer Engagement Score,East,Beer,Medium-Value,SMS,Fall,Mid Value,58.87
2024-01,Customer Engagement Score,East,Beer,Medium-Value,Direct Mail,Winter,Mid Value,96.08
2024-01,Customer Engagement Score,East,Beer,Low-Value,Email,Fall,High Value,86.43
2024-01,Customer Engagement Score,East,Beer,Low-Value,Social Media,Summer,High Value,273.72
2024-01,Customer Engagement Score,East,Beer,Low-Value,SMS,Fall,Mid Value,112.79
2024-01,Customer Engagement Score,East,Beer,Low-Value,Direct Mail,Fall,Mid Value,137.36
2024-01,Customer Engagement Score,East,Wine,High-Value,Email,Winter,High Value,56.11
2024-01,Customer Engagement Score,East,Wine,High-Value,Social Media,Fall,Low Value,130.62
2024-01,Customer Engagement Score,East,Wine,High-Value,SMS,Spring,Low Value,68.45
2024-01,Customer Engagement Score,East,Wine,High-Value,Direct Mail,Spring,High Value,87.05
